,agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
0,5s,15s,20d,6s,14n,10s,14n,10s
1,USGS,02085070,2018-11-02 00:00,EDT,74.4,P,1.98,P
2,USGS,02085070,2018-11-02 00:15,EDT,74.4,P,1.98,P
3,USGS,02085070,2018-11-02 00:30,EDT,74.4,P,1.98,P
4,USGS,02085070,2018-11-02 00:45,EDT,74.4,P,1.98,P
5,USGS,02085070,2018-11-02 01:00,EDT,73.0,P,1.97,P
6,USGS,02085070,2018-11-02 01:15,EDT,73.0,P,1.97,P
7,USGS,02085070,2018-11-02 01:30,EDT,73.0,P,1.97,P
8,USGS,02085070,2018-11-02 01:45,EDT,73.0,P,1.97,P
9,USGS,02085070,2018-11-02 02:00,EDT,73.0,P,1.97,P
10,USGS,02085070,2018-11-02 02:15,EDT,73.0,P,1.97,P
11,USGS,02085070,2018-11-02 02:30,EDT,73.0,P,1.97,P
12,USGS,02085070,2018-11-02 02:45,EDT,73.0,P,1.97,P
13,USGS,02085070,2018-11-02 03:00,EDT,73.0,P,1.97,P
14,USGS,02085070,2018-11-02 03:15,EDT,73.0,P,1.97,P
15,USGS,02085070,2018-11-02 03:30,EDT,73.0,P,1.97,P
16,USGS,02085070,2018-11-02 03:45,EDT,73.0,P,1.97,P
17,USGS,02085070,2018-11-02 04:00,EDT,73.0,P,1.97,P
18,USGS,02085070,2018-11-02 04:15,EDT,73.0,P,1.97,P
19,USGS,02085070,2018-11-02 04:30,EDT,73.0,P,1.97,P
20,USGS,02085070,2018-11-02 04:45,EDT,73.0,P,1.97,P
21,USGS,02085070,2018-11-02 05:00,EDT,73.0,P,1.97,P
22,USGS,02085070,2018-11-02 05:15,EDT,73.0,P,1.97,P
23,USGS,02085070,2018-11-02 05:30,EDT,73.0,P,1.97,P
24,USGS,02085070,2018-11-02 05:45,EDT,71.5,P,1.96,P
25,USGS,02085070,2018-11-02 06:00,EDT,71.5,P,1.96,P
26,USGS,02085070,2018-11-02 06:15,EDT,71.5,P,1.96,P
27,USGS,02085070,2018-11-02 06:30,EDT,71.5,P,1.96,P
28,USGS,02085070,2018-11-02 06:45,EDT,71.5,P,1.96,P
29,USGS,02085070,2018-11-02 07:00,EDT,71.5,P,1.96,P
30,USGS,02085070,2018-11-02 07:15,EDT,71.5,P,1.96,P
31,USGS,02085070,2018-11-02 07:30,EDT,71.5,P,1.96,P
32,USGS,02085070,2018-11-02 07:45,EDT,71.5,P,1.96,P
33,USGS,02085070,2018-11-02 08:00,EDT,71.5,P,1.96,P
34,USGS,02085070,2018-11-02 08:15,EDT,71.5,P,1.96,P
35,USGS,02085070,2018-11-02 08:30,EDT,71.5,P,1.96,P
36,USGS,02085070,2018-11-02 08:45,EDT,71.5,P,1.96,P
37,USGS,02085070,2018-11-02 09:00,EDT,71.5,P,1.96,P
38,USGS,02085070,2018-11-02 09:15,EDT,71.5,P,1.96,P
39,USGS,02085070,2018-11-02 09:30,EDT,71.5,P,1.96,P
40,USGS,02085070,2018-11-02 09:45,EDT,71.5,P,1.96,P
41,USGS,02085070,2018-11-02 10:00,EDT,71.5,P,1.96,P
42,USGS,02085070,2018-11-02 10:15,EDT,71.5,P,1.96,P
43,USGS,02085070,2018-11-02 10:30,EDT,71.5,P,1.96,P
